
195,ซีพีอาร์ โกมุ อินดัสเตรียล จำกัด (มหาชน),0107547000648,413446106,6.66,57557047,30.44,655850004,6.69,199000000,577075351,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED,วันที่ 14 ก.ค. 2547,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
196,ซีพีที ไดร์ แอนด์ เพาเวอร์ จำกัด (มหาชน),0107556000639,1202743707,-10.72,77174258,270.26,1194767707,-8.20,739500000,935441811,CPT DRIVES AND POWER PUBLIC COMPANY LIMITED,วันที่ 16 ก.ย. 2556,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
198,คอปเปอร์ ไวร์ด จำกัด (มหาชน),0107562000149,7226732889,1.89,129254093,43.97,2033626549,8.35,300000000,857639844,COPPERWIRED PUBLIC COMPANY LIMITED,วันที่ 25 เม.ย. 2562,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
199,ชูไก จำกัด (มหาชน),0107548000412,201396071,65.40,-31948551,93.41,1045379597,-21.88,1044637027,579187421,CHU KAI PUBLIC COMPANY LIMITED,วันที่ 8 มิ.ย. 2548,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
200,เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),0107562000386,8423664894,-1.39,4082721677,-24.50,161750968832,5.10,6320000000,81360624970,CENTRAL RETAIL CORPORATION PUBLIC COMPANY,วันที่ 6 ก.ย. 2562,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
201,เชียงใหม่ริมดอย จำกัด (มหาชน),0107560000176,792625270,-36.79,-79898655,-336.91,816398201,-29.51,250000000,252608020,CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED,วันที่ 10 เม.ย. 2560,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
203,ฝาจีบ จำกัด (มหาชน),0107537000416,3608574149,-4.86,177392498,-27.89,4808660556,2.04,528000000,3973542325,CROWN SEAL PUBLIC COMPANY LIMITED,วันที่ 2 ก.พ. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
204,ซีเอสพี สตีลเซ็นเตอร์ จำกัด (มหาชน),0107548000544,2380006577,-24.41,-90850010,4.31,2013738182,-2.37,621166300,677986180,CSP STEEL CENTER PUBLIC COMPANY LIMITED,วันที่ 26 ก.ค. 2548,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
205,เทพธานีกรีฑา จำกัด (มหาชน),0107536000552,186190268,21.42,52518893,41.55,1338471483,-2.97,205000000,1192982495,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED,วันที่ 22 มิ.ย. 2536,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
206,คอมมิวนิเคชั่น แอนด์ ซิสเต็มส์ โซลูชั่น จำกัด (มหาชน),0107548000561,3649852286,-14.48,51575171,-61.12,2891032688,-7.41,588036884.5,1720821424,COMMUNICATION & SYSTEM SOLUTION PUBLIC COMPANY LIMITED,วันที่ 8 ส.ค. 2548,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
208,จรุงไทยไวร์แอนด์เคเบิ้ล จำกัด (มหาชน),0107537000599,3089500947,23.68,-124433480,-1995.43,5191169192,4.37,1989531420,3416906203,CHAROONG THAI WIRE & CABLE PUBLIC COMPANY LIMITED,วันที่ 18 ก.พ. 2537,ยังดำเนินกิจการอยู่,บริษัทมหาชนจำกัด
